protocol,product_type,image_count,threshold,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,accepted_image_count,uncertain_image_count,coverage,uncertain_rate,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1_score,uncertain_error_rate
standard,apple,1561,0.53,0.8654708520179372,0.9069767441860465,0.8468571428571429,0.875886524822695,1509,52,0.9666880204996797,0.033311979500320305,0.8807157057654076,0.920253164556962,0.8613744075829384,0.8898408812729498,0.5769230769230769
standard,banana,1388,0.53,0.957492795389049,0.9394773039889959,0.9785100286532952,0.9585964912280702,1371,17,0.9877521613832853,0.012247838616714697,0.9642596644784829,0.9486111111111111,0.9827338129496402,0.9653710247349824,0.5882352941176471
standard,bellpepper,769,0.53,0.8556566970091027,0.9711815561959655,0.769406392694064,0.8585987261146497,749,20,0.9739921976592978,0.02600780234070221,0.8664886515353805,0.973293768545994,0.7828162291169452,0.8677248677248677,0.55
standard,bitter_gourd,123,0.53,1.0,1.0,1.0,1.0,123,0,1.0,0.0,1.0,1.0,1.0,1.0,
standard,carrot,214,0.53,0.7757009345794392,0.7978723404255319,0.7211538461538461,0.7575757575757576,204,10,0.9532710280373832,0.04672897196261682,0.7892156862745098,0.7954545454545454,0.7368421052631579,0.7650273224043715,0.5
standard,cucumber,257,0.53,0.8832684824902723,0.9782608695652174,0.7627118644067796,0.8571428571428571,253,4,0.9844357976653697,0.01556420233463035,0.8972332015810277,0.989010989010989,0.782608695652174,0.8737864077669902,1.0
standard,grape,107,0.53,1.0,1.0,1.0,1.0,107,0,1.0,0.0,1.0,1.0,1.0,1.0,
standard,grapes,96,0.53,0.7708333333333334,0.7428571428571429,0.6666666666666666,0.7027027027027027,93,3,0.96875,0.03125,0.7849462365591398,0.7575757575757576,0.6756756756756757,0.7142857142857143,0.6666666666666666
standard,guava,543,0.53,0.9318600368324125,0.979253112033195,0.8805970149253731,0.9273084479371316,534,9,0.9834254143646409,0.016574585635359115,0.9382022471910112,0.9830508474576272,0.8888888888888888,0.9336016096579477,0.4444444444444444
standard,jujube,66,0.53,0.8939393939393939,0.8421052631578947,0.9696969696969697,0.9014084507042254,66,0,1.0,0.0,0.8939393939393939,0.8421052631578947,0.9696969696969697,0.9014084507042254,
standard,kaki,177,0.53,1.0,1.0,1.0,1.0,177,0,1.0,0.0,1.0,1.0,1.0,1.0,
standard,lime,457,0.53,0.9452954048140044,1.0,0.8863636363636364,0.9397590361445783,451,6,0.986870897155361,0.01312910284463895,0.9467849223946785,1.0,0.8878504672897196,0.9405940594059405,0.16666666666666666
standard,mango,207,0.53,0.855072463768116,0.8974358974358975,0.8536585365853658,0.875,196,11,0.9468599033816425,0.05314009661835749,0.8724489795918368,0.9,0.8761061946902655,0.8878923766816144,0.45454545454545453
standard,orange,1285,0.53,0.8490272373540856,0.9246935201401051,0.7776141384388807,0.8448,1247,38,0.9704280155642023,0.029571984435797664,0.859663191659984,0.9294755877034359,0.7907692307692308,0.8545303408146301,0.5
standard,papaya,108,0.53,0.8981481481481481,1.0,0.8571428571428571,0.9230769230769231,108,0,1.0,0.0,0.8981481481481481,1.0,0.8571428571428571,0.9230769230769231,
standard,peach,220,0.53,0.9181818181818182,1.0,0.8512396694214877,0.9196428571428571,200,20,0.9090909090909091,0.09090909090909091,0.95,1.0,0.900990099009901,0.9479166666666666,0.4
standard,pear,122,0.53,1.0,1.0,1.0,1.0,122,0,1.0,0.0,1.0,1.0,1.0,1.0,
standard,pomegranate,1511,0.53,0.9642620780939775,0.9140893470790378,0.9016949152542373,0.9078498293515358,1497,14,0.9907346128391793,0.009265387160820648,0.9692718770875084,0.9298245614035088,0.9106529209621993,0.9201388888888888,0.5714285714285714
standard,potato,240,0.53,0.7166666666666667,0.7062937062937062,0.7952755905511811,0.7481481481481481,236,4,0.9833333333333333,0.016666666666666666,0.7161016949152542,0.7092198581560284,0.7936507936507936,0.7490636704119851,0.25
standard,strawberry,337,0.53,0.7833827893175074,0.7142857142857143,0.9202453987730062,0.8042895442359249,315,22,0.9347181008902077,0.06528189910979229,0.8,0.7461928934010152,0.91875,0.8235294117647058,0.45454545454545453
standard,tomato,889,0.53,0.8773903262092239,0.9373493975903614,0.8241525423728814,0.8771138669673055,852,37,0.9583802024746907,0.04161979752530934,0.8931924882629108,0.959493670886076,0.8348017621145375,0.8928150765606596,0.4864864864864865
standard,watermelon,48,0.53,1.0,1.0,1.0,1.0,45,3,0.9375,0.0625,1.0,1.0,1.0,1.0,0.0
unseen,apple,7731,0.5,0.7662656836114344,0.7547717842323651,0.8533896317147549,0.8010569195199824,7731,0,1.0,0.0,0.7662656836114344,0.7547717842323651,0.8533896317147549,0.8010569195199824,
unseen,banana,7118,0.5,0.6205394773812869,0.5772121626238469,0.9373092926490985,0.7144518448038905,7118,0,1.0,0.0,0.6205394773812869,0.5772121626238469,0.9373092926490985,0.7144518448038905,
unseen,tomato,4409,0.5,0.5838058516670447,0.5913684785577711,0.8646166134185304,0.7023519870235199,4409,0,1.0,0.0,0.5838058516670447,0.5913684785577711,0.8646166134185304,0.7023519870235199,
